Sale_ID,Date,Brand,Model,Category,Fuel_Type,Transmission,Price,City,Seller_Type,Kilometers_Driven,Color,Customer_Age,Unused_ID
74,2021-02-20,Tata,Harrier,MUV,Diesel,Automatic,1515824.0,Kolkata,Dealer,57573,Green,48.0,108852
75,2020-10-29,Volkswagen,Vento,Hatchback,Diesel,Manual,913929.0,Kolkata,Dealer,11631,Red,70.0,939946
76,2022-11-08,Honda,Jazz,MUV,Electric,Manual,924831.0,Pune,Individual,59831,Black,33.0,243209
77,2022-06-04,Kia,Sonet,Hatchback,CNG,Automatic,1085150.0,Chennai,Dealer,58342,Black,31.0,498635
78,2021-02-14,Kia,Carens,SUV,Petrol,Manual,744217.0,Delhi,Dealer,30751,Black,61.0,984354
79,2021-03-13,Maruti,Dzire,Sedan,Electric,Automatic,888862.0,Hyderabad,Individual,11452,Blue,33.0,990052
80,2020-01-04,Tata,Nexon,MUV,CNG,Manual,529433.0,Hyderabad,Dealer,0,Black,49.0,686102
81,2021-02-01,Honda,WR-V,Hatchback,Diesel,Automatic,271639.0,Mumbai,Individual,28320,Blue,22.0,427447
82,2020-08-02,Toyota,Glanza,MUV,Petrol,Automatic,987968.0,Mumbai,Individual,34867,Grey,26.0,185554
83,2021-01-18,Honda,Jazz,Hatchback,CNG,Automatic,1364747.0,Chennai,Individual,86187,Green,62.0,721710
84,2021-05-05,Mahindra,Scorpio,MUV,Petrol,Automatic,678380.0,Chennai,Individual,3717,Blue,28.0,801080
85,2020-09-21,Volkswagen,Tiguan,SUV,Electric,Automatic,1266872.0,Pune,Individual,11705,Green,58.0,397240
86,2022-04-05,Toyota,Etios,SUV,Electric,Automatic,1345234.0,Kolkata,Individual,51389,Silver,29.0,523652
87,2020-08-12,Renault,Triber,MUV,CNG,Manual,861781.0,Bangalore,Individual,43197,White,49.0,418885
88,2021-02-04,Hyundai,i20,MUV,Electric,Automatic,786324.0,Kolkata,Dealer,55936,Red,51.0,730358
89,2023-02-11,Toyota,Fortuner,Hatchback,Petrol,Automatic,431279.0,Hyderabad,Individual,32690,Red,52.0,538881
90,2022-08-27,Toyota,Fortuner,Sedan,Electric,Automatic,700974.0,Ahmedabad,Individual,60508,Brown,36.0,141399
91,2022-11-09,Maruti,Baleno,Hatchback,Petrol,Manual,1075020.0,Mumbai,Dealer,4292,Blue,39.0,483477
92,2023-01-21,Toyota,Glanza,MUV,CNG,Automatic,1092862.0,Hyderabad,Dealer,18938,White,23.0,642101
93,2021-05-13,Skoda,Rapid,MUV,Diesel,Manual,1075398.0,Mumbai,Dealer,47008,Brown,53.0,263923
94,2022-11-20,Hyundai,Creta,Sedan,Diesel,Manual,1775368.0,Pune,Individual,45194,Black,41.0,849944
95,2023-04-10,Hyundai,Verna,Hatchback,Petrol,Automatic,1071929.0,Delhi,Dealer,23179,White,56.0,455971
96,2022-02-15,Renault,Kwid,Hatchback,Petrol,Manual,449096.0,Pune,Dealer,59666,Silver,46.0,499358
97,2022-12-22,Volkswagen,Vento,Sedan,Diesel,Manual,1214336.0,Chennai,Dealer,28024,Blue,36.0,182095
98,2020-05-29,Toyota,Glanza,Hatchback,Electric,Automatic,641440.0,Pune,Dealer,38972,Black,48.0,935766
99,2020-09-19,Skoda,Kushaq,MUV,Electric,Automatic,1605072.0,Delhi,Individual,64793,Black,57.0,427955
100,2023-02-01,Skoda,Octavia,,,Automatic,,,Individual,44936,Red,,147821
101,2023-03-15,Maruti,Dzire,Hatchback,Electric,Manual,1617842.0,Mumbai,Dealer,65735,Red,38.0,719014
102,2022-08-23,Maruti,Alto,Sedan,Petrol,Automatic,1042596.0,Pune,Dealer,40571,Black,31.0,129941
103,2021-04-16,Volkswagen,Polo,SUV,Electric,Manual,836586.0,Delhi,Individual,75210,Black,27.0,893750
104,2022-12-20,Maruti,Alto,SUV,Electric,Automatic,1077498.0,Ahmedabad,Individual,52253,Green,57.0,674005
105,2021-07-09,Tata,Safari,Sedan,Electric,Manual,1533063.0,Hyderabad,Dealer,55386,Brown,21.0,229431
106,2021-11-27,Skoda,Superb,Hatchback,Petrol,Automatic,881980.0,Pune,Individual,38688,Black,33.0,725510
107,2020-11-30,Mahindra,Scorpio,Hatchback,Diesel,Manual,995392.0,Pune,Individual,71934,Brown,30.0,465359
108,2021-03-12,Volkswagen,Polo,Sedan,Electric,Automatic,1209491.0,Bangalore,Individual,11009,Silver,60.0,197063
109,2020-04-21,Volkswagen,Tiguan,SUV,Petrol,Manual,789647.0,Kolkata,Dealer,60886,Grey,58.0,175839
110,2022-10-21,Renault,Triber,MUV,Petrol,Automatic,1312409.0,Kolkata,Dealer,31764,Silver,65.0,879624
111,2023-03-09,Toyota,Glanza,MUV,Diesel,Automatic,1156694.0,Bangalore,Individual,21569,Red,70.0,656270
112,2022-02-04,Maruti,Alto,,,Automatic,,,Dealer,68205,White,,804916
113,2021-11-07,Hyundai,Creta,SUV,Electric,Automatic,1086410.0,Bangalore,Dealer,39084,Red,27.0,298456
114,2021-07-04,Tata,Safari,Sedan,Electric,Manual,724715.0,Hyderabad,Dealer,34169,Blue,29.0,318152
115,2020-07-08,Kia,Seltos,Hatchback,CNG,Automatic,1099296.0,Ahmedabad,Dealer,15822,Red,66.0,286758
116,2020-01-19,Mahindra,Thar,MUV,Electric,Automatic,883142.0,Chennai,Individual,33286,Red,67.0,536637
117,2022-02-15,Maruti,Swift,MUV,CNG,Automatic,818109.0,Bangalore,Individual,39634,Grey,27.0,531030
118,2020-10-22,Renault,Triber,Sedan,CNG,Manual,1139758.0,Ahmedabad,Dealer,4929,White,21.0,821895
119,2021-02-12,Tata,Nexon,Hatchback,CNG,Automatic,1082738.0,Pune,Individual,20007,White,66.0,968217
120,2022-01-17,Mahindra,XUV300,MUV,Diesel,Manual,1298036.0,Bangalore,Dealer,79927,Grey,46.0,213645
121,2023-04-13,Honda,Amaze,SUV,Petrol,Manual,1391137.0,Mumbai,Dealer,47855,Blue,68.0,740631
122,2020-01-01,Skoda,Octavia,MUV,Petrol,Automatic,933655.0,Bangalore,Dealer,35175,Black,49.0,715876
123,2021-04-26,Renault,Triber,SUV,Petrol,Automatic,1186407.0,Delhi,Dealer,57564,Silver,66.0,221364
124,2021-12-16,Volkswagen,Vento,MUV,Diesel,Automatic,907429.0,Mumbai,Dealer,39934,Grey,30.0,948456
125,2020-10-01,Volkswagen,Vento,,,Automatic,,,Individual,56269,Brown,,761376
126,2022-01-25,Maruti,Baleno,Hatchback,Electric,Manual,857216.0,Ahmedabad,Dealer,37984,White,36.0,631700
127,2021-09-27,Hyundai,Verna,SUV,Petrol,Manual,1040494.0,Pune,Individual,33925,Red,23.0,750745
128,2021-07-12,Tata,Tiago,Sedan,Diesel,Automatic,991481.0,Pune,Individual,48234,White,29.0,492165
129,2022-06-02,Renault,Kiger,,,Automatic,,,Individual,60607,Silver,,669341
130,2020-02-22,Skoda,Superb,Hatchback,Electric,Manual,1675468.0,Bangalore,Dealer,49083,Green,33.0,569420
131,2020-06-15,Maruti,Alto,SUV,CNG,Manual,1220492.0,Delhi,Individual,23741,Silver,21.0,609913
132,2022-10-31,Honda,Jazz,MUV,Diesel,Manual,1178591.0,Kolkata,Individual,58888,Red,51.0,682071
133,2023-02-25,Honda,WR-V,Sedan,Petrol,Manual,1296574.0,Bangalore,Dealer,20033,White,36.0,373464
134,2020-07-10,Mahindra,Thar,MUV,Petrol,Manual,1195676.0,Bangalore,Dealer,37601,Red,23.0,967514
135,2022-08-05,Honda,Jazz,SUV,Diesel,Automatic,1231737.0,Mumbai,Individual,52781,Green,58.0,427752
136,2021-01-21,Renault,Duster,SUV,CNG,Manual,1105534.0,Ahmedabad,Individual,26490,Black,68.0,974550
137,2021-09-23,Renault,Kwid,Hatchback,Diesel,Manual,1072894.0,Delhi,Individual,30762,Green,58.0,226173
138,2020-04-26,Skoda,Rapid,SUV,CNG,Manual,1020643.0,Delhi,Dealer,58771,Brown,62.0,865649
139,2021-08-06,Skoda,Kushaq,MUV,Petrol,Manual,885269.0,Delhi,Individual,14511,Black,37.0,539231
140,2020-03-28,Renault,Kwid,Sedan,Electric,Manual,997857.0,Ahmedabad,Individual,41474,Grey,41.0,694049
141,2022-06-04,Honda,City,MUV,CNG,Automatic,941378.0,Ahmedabad,Dealer,22381,Green,44.0,106697
142,2020-02-10,Toyota,Glanza,MUV,Diesel,Automatic,1145842.0,Kolkata,Dealer,62649,Silver,58.0,414671
143,2020-11-29,Honda,Amaze,Hatchback,CNG,Automatic,1340295.0,Mumbai,Individual,36927,Blue,53.0,563143
144,2022-06-29,Mahindra,Thar,SUV,Electric,Manual,741101.0,Kolkata,Individual,81020,Red,40.0,259186
145,2022-05-04,Mahindra,Thar,SUV,CNG,Automatic,904498.0,Mumbai,Dealer,17235,Green,50.0,167674
146,2022-08-02,Maruti,Swift,SUV,Diesel,Manual,788672.0,Ahmedabad,Dealer,49239,Grey,34.0,463782
147,2023-03-22,Skoda,Rapid,Hatchback,Electric,Automatic,1025199.0,Chennai,Dealer,36422,Silver,20.0,446709
148,2022-04-30,Skoda,Octavia,Hatchback,Diesel,Manual,1069056.0,Hyderabad,Dealer,32089,Brown,56.0,804167
149,2021-02-27,Toyota,Fortuner,MUV,CNG,Manual,836350.0,Hyderabad,Individual,58926,Red,41.0,698579
150,2022-10-30,Tata,Nexon,SUV,Petrol,Manual,1429005.0,Mumbai,Individual,55931,White,57.0,846203
151,2022-11-12,Toyota,Innova,SUV,Petrol,Automatic,1120454.0,Mumbai,Dealer,42707,Grey,59.0,242431
152,2021-01-24,Maruti,Swift,Sedan,Diesel,Manual,1088727.0,Ahmedabad,Individual,4924,White,20.0,282401
153,2020-08-28,Maruti,Baleno,MUV,Diesel,Automatic,786335.0,Ahmedabad,Individual,44936,Grey,44.0,136924
154,2020-01-21,Toyota,Glanza,Hatchback,Diesel,Automatic,885297.0,Mumbai,Individual,45215,White,50.0,342738
155,2020-10-30,Tata,Harrier,Sedan,CNG,Manual,974290.0,Delhi,Dealer,26029,Silver,55.0,428219
156,2022-10-03,Kia,Seltos,SUV,Diesel,Automatic,954925.0,Chennai,Dealer,48894,Blue,40.0,769101
157,2020-07-04,Renault,Triber,SUV,CNG,Automatic,1541533.0,Ahmedabad,Dealer,1892,Brown,64.0,455080
158,2021-04-09,Skoda,Rapid,SUV,CNG,Manual,1656489.0,Pune,Dealer,23247,Brown,51.0,910649
159,2020-11-08,Kia,Carens,Sedan,Petrol,Automatic,1179550.0,Ahmedabad,Dealer,20230,Silver,41.0,435106
160,2020-11-15,Maruti,Dzire,Sedan,Petrol,Manual,1165733.0,Mumbai,Individual,37366,Black,26.0,689989
161,2022-11-30,Honda,Jazz,Sedan,CNG,Manual,835530.0,Ahmedabad,Individual,51448,White,68.0,839348
162,2021-11-09,Renault,Kwid,SUV,CNG,Manual,543247.0,Kolkata,Dealer,5937,Blue,29.0,317279
163,2021-04-01,Mahindra,XUV300,Hatchback,Diesel,Automatic,1141474.0,Mumbai,Dealer,46119,Blue,25.0,190005
164,2020-07-16,Hyundai,Venue,Hatchback,Diesel,Automatic,660110.0,Delhi,Dealer,32389,Black,46.0,231921
165,2021-07-30,Honda,Amaze,MUV,Petrol,Automatic,824798.0,Ahmedabad,Dealer,43931,Grey,32.0,609544
166,2021-11-04,Volkswagen,Polo,Sedan,Diesel,Automatic,1377070.0,Kolkata,Individual,53668,Grey,27.0,594934
167,2022-08-23,Skoda,Superb,Hatchback,Electric,Automatic,694028.0,Hyderabad,Individual,28225,White,45.0,377264
168,2022-01-18,Mahindra,Thar,MUV,CNG,Automatic,1053101.0,Mumbai,Dealer,32190,Red,25.0,303884
169,2022-05-05,Kia,Seltos,Sedan,Electric,Manual,1138417.0,Ahmedabad,Individual,42092,Silver,41.0,679687
170,2022-11-25,Tata,Tiago,MUV,Diesel,Automatic,436736.0,Hyderabad,Individual,43465,Brown,65.0,166830
171,2020-12-13,Toyota,Fortuner,Hatchback,Petrol,Automatic,1558271.0,Pune,Dealer,49715,Grey,52.0,123214
172,2021-12-31,Toyota,Etios,SUV,Petrol,Manual,1594613.0,Mumbai,Dealer,48805,Silver,66.0,486439
173,2020-03-23,Kia,Sonet,MUV,Petrol,Manual,761965.0,Chennai,Dealer,6215,Green,61.0,897663
174,2022-04-23,Tata,Nexon,MUV,Electric,Manual,1471383.0,Kolkata,Individual,49410,White,32.0,574010
175,2022-05-05,Toyota,Glanza,Hatchback,CNG,Manual,804804.0,Chennai,Individual,47062,Red,40.0,862184
176,2020-07-29,Kia,Seltos,SUV,Diesel,Manual,1248542.0,Bangalore,Dealer,34226,Grey,43.0,896782
177,2022-06-21,Tata,Safari,MUV,Electric,Manual,760004.0,Bangalore,Dealer,74122,Blue,35.0,657694
178,2021-01-23,Maruti,Baleno,SUV,Petrol,Automatic,773352.0,Chennai,Dealer,74124,Brown,50.0,735187
179,2021-01-15,Toyota,Etios,SUV,Diesel,Manual,1336848.0,Ahmedabad,Dealer,42457,Brown,61.0,722857
180,2021-04-10,Toyota,Glanza,Sedan,CNG,Manual,682803.0,Kolkata,Individual,67225,White,34.0,384993
181,2020-09-27,Skoda,Superb,Sedan,Petrol,Manual,1040350.0,Hyderabad,Dealer,24403,White,63.0,794734
182,2020-06-09,Volkswagen,Taigun,MUV,Diesel,Automatic,1421755.0,Kolkata,Dealer,57642,Black,48.0,257411
183,2021-08-24,Kia,Sonet,Sedan,Diesel,Automatic,1174001.0,Hyderabad,Dealer,28432,Silver,50.0,858178
184,2020-10-21,Kia,Carens,SUV,Diesel,Automatic,667850.0,Kolkata,Dealer,63140,White,70.0,686072
185,2022-02-10,Maruti,Swift,MUV,Electric,Automatic,828921.0,Delhi,Dealer,60699,Brown,46.0,846669
186,2020-05-20,Kia,Seltos,Sedan,Diesel,Automatic,1511597.0,Delhi,Individual,25203,White,25.0,572396
187,2022-11-07,Honda,Amaze,Sedan,Petrol,Manual,1395151.0,Chennai,Individual,19375,Brown,33.0,737733
188,2021-07-20,Mahindra,Bolero,Sedan,Electric,Automatic,1175059.0,Ahmedabad,Dealer,71191,White,20.0,481106
189,2020-03-14,Honda,City,Sedan,Petrol,Manual,708252.0,Hyderabad,Dealer,67112,White,36.0,823445
190,2022-07-11,Hyundai,i20,Hatchback,Electric,Manual,741742.0,Hyderabad,Dealer,62063,Silver,47.0,609261
191,2021-07-29,Volkswagen,Tiguan,MUV,Electric,Automatic,1095828.0,Kolkata,Individual,62147,Black,24.0,224385
192,2021-06-21,Toyota,Innova,Sedan,CNG,Manual,1149779.0,Delhi,Dealer,53976,Red,25.0,675205
193,2022-02-15,Renault,Kiger,MUV,CNG,Manual,1313926.0,Bangalore,Individual,26200,Red,50.0,533768
194,2022-07-03,Skoda,Rapid,Hatchback,Electric,Automatic,984974.0,Bangalore,Individual,31003,Blue,35.0,301937
195,2020-07-08,Kia,Carnival,SUV,CNG,Manual,937869.0,Pune,Dealer,44101,Green,23.0,150826
196,2022-10-05,Honda,Jazz,Sedan,CNG,Automatic,916612.0,Mumbai,Dealer,51846,Green,55.0,104576
197,2020-06-04,Renault,Triber,MUV,Electric,Automatic,605454.0,Hyderabad,Individual,41275,Brown,52.0,906130
198,2021-04-10,Toyota,Etios,Hatchback,Petrol,Manual,1025025.0,Kolkata,Individual,48812,Green,24.0,750733
199,2020-09-12,Toyota,Fortuner,MUV,Petrol,Automatic,951231.0,Kolkata,Individual,25877,Blue,41.0,640639
200,2023-03-31,Toyota,Glanza,SUV,Electric,Automatic,1057174.0,Mumbai,Individual,0,Brown,48.0,544461
201,2022-10-20,Hyundai,Verna,Sedan,Petrol,Manual,1191488.0,Hyderabad,Dealer,43902,Blue,61.0,512823
202,2021-08-07,Honda,City,Sedan,Diesel,Manual,944170.0,Bangalore,Dealer,82086,Brown,51.0,717109
203,2023-01-27,Volkswagen,Taigun,Hatchback,Electric,Automatic,957998.0,Bangalore,Dealer,33959,White,48.0,270812
204,2021-11-11,Tata,Nexon,Sedan,Diesel,Manual,791265.0,Chennai,Dealer,11642,Grey,39.0,440826
205,2022-09-08,Toyota,Etios,Sedan,Diesel,Automatic,722550.0,Hyderabad,Dealer,50324,Red,56.0,980332
206,2021-01-04,Tata,Safari,Hatchback,Diesel,Automatic,1268568.0,Hyderabad,Individual,36364,Green,61.0,823446
207,2021-09-26,Kia,Sonet,Sedan,Electric,Automatic,712720.0,Hyderabad,Individual,32563,Silver,68.0,716196
208,2023-03-30,Tata,Tiago,MUV,CNG,Manual,1239725.0,Kolkata,Individual,16459,White,38.0,308464
209,2020-02-28,Volkswagen,Vento,SUV,Diesel,Automatic,1381611.0,Kolkata,Dealer,34929,Blue,49.0,473035
210,2020-03-22,Mahindra,Scorpio,SUV,CNG,Automatic,1167169.0,Kolkata,Individual,40256,Green,37.0,564305
211,2022-02-09,Toyota,Etios,,,Automatic,,,Dealer,29152,White,,449731
212,2020-01-04,Toyota,Glanza,Hatchback,CNG,Automatic,1226884.0,Kolkata,Individual,0,Green,63.0,217000
213,2021-08-30,Volkswagen,Polo,,,Manual,,,Dealer,32712,Red,,694558
214,2022-04-04,Renault,Kiger,Hatchback,CNG,Manual,1158580.0,Hyderabad,Individual,0,Brown,46.0,341521
215,2022-05-20,Honda,Jazz,MUV,Petrol,Automatic,1455993.0,Bangalore,Dealer,46432,White,49.0,729412
216,2021-04-04,Hyundai,Creta,Hatchback,Diesel,Manual,697690.0,Ahmedabad,Dealer,38971,Grey,30.0,195865
217,2020-04-17,Volkswagen,Vento,MUV,Electric,Automatic,1108929.0,Pune,Dealer,9211,Green,44.0,402100
218,2020-11-13,Volkswagen,Tiguan,SUV,Diesel,Automatic,921179.0,Mumbai,Individual,38494,Silver,40.0,265179
219,2022-09-27,Honda,City,Sedan,Electric,Automatic,1214485.0,Hyderabad,Individual,65163,Grey,53.0,194139
220,2021-04-15,Maruti,Dzire,Hatchback,Electric,Automatic,813419.0,Chennai,Dealer,22223,Green,40.0,692318
221,2022-10-08,Hyundai,Creta,Hatchback,CNG,Automatic,1189168.0,Chennai,Individual,3644,White,61.0,973545
222,2021-05-19,Honda,Jazz,Hatchback,Petrol,Automatic,795620.0,Kolkata,Dealer,61371,White,24.0,904653
223,2022-01-25,Skoda,Kushaq,SUV,Diesel,Manual,1237592.0,Pune,Dealer,36801,Blue,24.0,194346
224,2021-11-11,Mahindra,Bolero,MUV,CNG,Automatic,676227.0,Hyderabad,Dealer,41740,Silver,66.0,387719
225,2022-06-02,Tata,Nexon,SUV,Petrol,Manual,782138.0,Delhi,Dealer,32248,Green,40.0,687292
226,2021-02-01,Kia,Sonet,SUV,Diesel,Manual,1073852.0,Pune,Dealer,37367,Green,33.0,845141
227,2022-06-17,Maruti,Dzire,Hatchback,CNG,Automatic,1225504.0,Pune,Dealer,47591,Red,29.0,227132
228,2020-01-29,Maruti,Swift,MUV,Electric,Automatic,900571.0,Ahmedabad,Dealer,27426,White,59.0,305393
