SaleID,SaleDate,Brand,Model,Variant,Price,EngineCC,FuelType,Transmission,BuyerGender,City,UnitsSold
SAL103174,2024-09-08,Maruti Suzuki,Dzire,Dzire ZXI+ Petrol Manual,363000,1497,Petrol,Manual,Male,Pune,5.0
SAL100090,2023-10-24,Kia,Sonet,Sonet SX(O) CNG Manual,1003000,2500,CNG,Manual,Male,Mumbai,3.0
SAL102406,2021-08-24,MG,ZS EV,ZS EV ZXI Petrol CVT,1911000,800,Petrol,CVT,Male,Lucknow,4.0
SAL103430,2025-05-15,Mahindra,Thar,Thar XZ+ Petrol Manual,1746000,999,Petrol,Manual,Female,Pune,2.0
SAL101726,2024-07-30,Kia,Seltos,Seltos SX CNG Manual,1666000,800,CNG,Manual,Male,Lucknow,4.0
SAL100476,2022-07-27,Kia,Sonet,Sonet ZXI+ Diesel Automatic,925000,1198,Diesel,Automatic,Female,Lucknow,3.0
SAL100967,2025-05-17,Toyota,Glanza,Glanza ZXI+ Hybrid Manual,1532000,1497,Hybrid,Manual,Male,Ahmedabad,5.0
SAL103728,2021-03-03,Toyota,Fortuner,Fortuner SX Petrol Manual,1156000,2500,Petrol,Manual,Female,Kolkata,6.0
SAL102982,2024-05-23,MG,Gloster,Gloster XM Diesel Manual,2762000,1498,Diesel,Manual,Female,Lucknow,3.0
SAL102693,2022-06-22,MG,Hector,Hector EX Diesel Manual,2160000,2200,Diesel,Manual,Male,Delhi,2.0
SAL101924,2024-09-06,Honda,Jazz,Jazz ZXI CNG Manual,1574000,800,CNG,Manual,Male,Delhi,3.0
SAL102920,2022-08-31,Honda,WR-V,WR-V ZXI Petrol Automatic,1058000,1197,Petrol,Automatic,Male,Pune,3.0
SAL102748,2020-09-20,Renault,Triber,triber sx petrol automatic,1030000,2200,Petrol,Automatic,Male,Bengaluru,5.0
SAL101046,2024-04-09,Mahindra,XUV700,XUV700 XZ Petrol Automatic,1119000,999,Petrol,Automatic,Male,Ahmedabad,1.0
SAL101876,2024-10-09,Skoda,Kushaq,Kushaq XZ+ CNG Automatic,2099000,2500,CNG,Automatic,Male,Bengaluru,6.0
SAL101594,2022-04-06,Maruti Suzuki,Alto,Alto XZ Petrol Automatic,952000,1198,Petrol,Automatic,Male,Jaipur,3.0
SAL103962,2022-02-10,Renault,Triber,Triber SX Petrol Manual,326000,1998,Petrol,Manual,Female,Delhi,5.0
SAL100313,2022-08-12,Skoda,Octavia,Octavia LXI Petrol AMT,2918000,2500,Petrol,AMT,Male,Mumbai,3.0
SAL102511,2024-01-01,Mahindra,XUV700,XUV700 XZ+ Petrol Manual,2290000,2500,Petrol,Manual,Male,Delhi,6.0
SAL102642,2020-10-25,Renault,Triber,Triber ZXI Petrol Automatic,1004000,1197,Petrol,Automatic,Male,Kolkata,4.0
SAL103188,2022-08-13,Maruti Suzuki,Wagon R,Wagon R ZXI Petrol Manual,1046000,2200,Petrol,Manual,Male,Kolkata,2.0
SAL102022,2022-04-23,Honda,Amaze,Amaze SX Diesel Manual,1731000,800,Diesel,Manual,Male,Lucknow,4.0
SAL100309,2022-07-08,Tata,Safari,Safari SX(O) Petrol Automatic,679000,1498,Petrol,Automatic,Male,Pune,3.0
SAL102566,2022-03-08,MG,Gloster,Gloster VXI Diesel Manual,1581000,1198,Diesel,Manual,Male,Kolkata,2.0
SAL102677,2022-01-16,Toyota,Glanza,Glanza ZXI+ Petrol Manual,863000,1197,Petrol,Manual,Female,Lucknow,1.0
SAL102014,2022-05-01,MG,ZS EV,ZS EV ZXI+ Diesel Manual,2331000,1497,Diesel,Manual,Male,Lucknow,1.0
SAL103268,2023-05-14,Kia,Seltos,Seltos ZXI Petrol Automatic,1868000,800,Petrol,Automatic,Male,Pune,6.0
SAL100901,2024-03-08,Skoda,Kushaq,Kushaq SX(O) Petrol AMT,858000,1998,Petrol,AMT,Male,Lucknow,1.0
SAL102453,2024-11-24,Maruti Suzuki,Alto,Alto XM Diesel Manual,613000,1197,Diesel,Manual,Male,Chennai,5.0
SAL102476,2024-12-07,Kia,Carens,Carens XZ+ Petrol Manual,1022000,2200,Petrol,Manual,Male,Jaipur,4.0
SAL101346,2023-11-03,Honda,WR-V,WR-V VXI Diesel Manual,1081000,2500,Diesel,Manual,Male,Pune,4.0
SAL101299,2025-06-18,Hyundai,Venue,Venue ZXI+ Petrol Manual,1248000,1497,Petrol,Manual,Male,Lucknow,4.0
SAL100162,2024-03-09,Skoda,Rapid,Rapid SX(O) Petrol Manual,2194000,1497,Petrol,Manual,Female,Pune,1.0
SAL102059,2021-10-31,Toyota,Glanza,Glanza ZXI Petrol Manual,2227000,800,Petrol,Manual,Male,Kolkata,2.0
SAL100225,2021-09-27,Skoda,Superb,Superb SX CNG Manual,1337000,1497,CNG,Manual,Male,Delhi,1.0
SAL103416,2020-11-03,Mahindra,Thar,Thar EX Diesel Automatic,1263000,1497,Diesel,Automatic,Female,Jaipur,4.0
SAL102847,2021-08-26,Renault,Kiger,Kiger SX(O) Petrol Automatic,526000,800,Petrol,Automatic,Female,Bengaluru,3.0
SAL101327,2021-05-25,Maruti Suzuki,Dzire,Dzire SX(O) Petrol Manual,1011000,999,Petrol,,Female,Jaipur,5.0
SAL101700,2021-08-01,Tata,Safari,Safari EX Diesel Automatic,1652000,1998,Diesel,Automatic,Male,Jaipur,1.0
SAL103043,2024-09-18,Skoda,Kushaq,Kushaq SX Petrol Automatic,1688000,800,Petrol,Automatic,Female,Mumbai,6.0
SAL103719,2025-02-02,Mahindra,Bolero,Bolero ZXI Petrol Automatic,1170000,1498,Petrol,Automatic,Male,Mumbai,5.0
SAL102210,2023-11-11,Honda,Amaze,Amaze ZXI+ Petrol Manual,1529000,2200,Petrol,Manual,Male,Kolkata,-1
SAL100483,2021-02-13,Renault,Triber,Triber ZXI+ Diesel CVT,865000,1497,Diesel,CVT,Female,Jaipur,4.0
SAL103026,2021-02-07,Kia,Carens,Carens XZ Petrol Manual,,1198,Petrol,Manual,Male,Ahmedabad,2.0
SAL103586,2023-09-26,Renault,Duster,Duster SX Petrol Manual,709000,2500,Petrol,Manual,Male,Jaipur,2.0
SAL100420,2020-10-25,MG,Gloster,Gloster SX Petrol Manual,2979000,1498,Petrol,Manual,Male,Bengaluru,5.0
SAL101314,2024-11-30,Tata,Nexon,Nexon VXI Petrol Manual,933000,1198,Petrol,Manual,Male,Jaipur,6.0
SAL102853,2021-02-26,Tata,Nano,Nano EX Petrol Manual,1586000,800,Petrol,Manual,Female,Bengaluru,6.0
SAL103604,2022-10-02,MG,Hector,Hector XZ+ Petrol Manual,1547000,1498,Petrol,Manual,Male,Pune,2.0
SAL101096,2024-01-03,Maruti Suzuki,Swift,Swift ZXI Electric Automatic,498000,2200,Electric,Automatic,Male,Lucknow,6.0
SAL100504,2025-04-09,Hyundai,i10,i10 VXI Petrol Automatic,1222000,1197,Petrol,Automatic,Male,Kolkata,4.0
SAL100013,2023-05-07,Mahindra,Bolero,Bolero VXI Diesel Manual,1082000,2500,Diesel,Manual,Male,Bengaluru,3.0
SAL100428,2024-07-27,Skoda,Rapid,Rapid EX Diesel Manual,1572000,1998,Diesel,Manual,Male,Hyderabad,4.0
SAL101224,2024-06-19,Maruti Suzuki,Ertiga,Ertiga XM Petrol Manual,678000,800,Petrol,Manual,Female,Kolkata,3.0
SAL100615,2023-05-19,Mahindra,Scorpio,Scorpio XM Petrol Manual,2358000,2200,Petrol,Manual,Female,Jaipur,2.0
SAL103965,2021-10-08,Kia,Sonet,Sonet VXI Diesel Manual,2139000,800,Diesel,Manual,Female,Lucknow,5.0
SAL101300,2025-02-11,Hyundai,Verna,Verna ZXI+ Hybrid Automatic,438000,800,Hybrid,Automatic,Male,Hyderabad,5.0
SAL103628,2025-01-09,Mahindra,Thar,Thar LXI Petrol Manual,2127000,2200,Petrol,Manual,Male,Kolkata,2.0
SAL102583,2024-10-10,Renault,Duster,Duster SX Petrol AMT,704000,1998,Petrol,AMT,Male,Jaipur,-1
SAL103005,2023-06-22,Renault,Duster,Duster VXI CNG Manual,1050000,1197,CNG,Manual,Male,Ahmedabad,2.0
SAL103515,2024-03-18,Toyota,Urban Cruiser,Urban Cruiser LXI Petrol Automatic,3326000,1497,Petrol,Automatic,Male,Bengaluru,2.0
SAL102815,2024-07-16,Mahindra,XUV300,XUV300 XM Petrol Manual,2089000,1498,Petrol,Manual,Male,Ahmedabad,1.0
SAL100204,2022-11-16,Maruti Suzuki,Baleno,Baleno XM Electric Manual,846000,2200,Electric,Manual,Male,Jaipur,3.0
SAL100507,2025-05-25,Maruti Suzuki,Celerio,Celerio EX Hybrid Manual,1040000,1497,Hybrid,Manual,Male,Mumbai,6.0
SAL103417,2025-03-22,Skoda,Octavia,Octavia ZXI+ Petrol AMT,2240000,2200,Petrol,AMT,Male,Jaipur,2.0
SAL103837,2024-06-30,Toyota,Urban Cruiser,Urban Cruiser VXI Diesel Manual,1032000,2200,Diesel,Manual,Male,Delhi,4.0
SAL103309,2021-04-09,Hyundai,Venue,Venue LXI Diesel AMT,957000,999,Diesel,AMT,Male,Kolkata,1.0
SAL101370,2023-04-28,Maruti Suzuki,Alto,Alto XZ Petrol Manual,1174000,2500,Petrol,Manual,Male,Hyderabad,5.0
SAL103035,2024-11-05,Honda,WR-V,WR-V SX(O) Hybrid Automatic,1004000,1198,Hybrid,Automatic,Male,Jaipur,6.0
SAL101311,2025-04-08,Hyundai,Santro,Santro XM Petrol Manual,1474000,800,Petrol,Manual,Female,Hyderabad,6.0
SAL101745,2021-12-04,Renault,Triber,Triber ZXI Hybrid Manual,733000,1998,Hybrid,Manual,Female,Chennai,6.0
SAL101989,2022-07-17,Renault,Triber,Triber EX Petrol Manual,957000,999,Petrol,Manual,Female,Chennai,4.0
SAL102851,2020-05-12,Hyundai,i10,i10 SX(O) CNG Manual,688000,1497,CNG,Manual,Male,Ahmedabad,2.0
SAL103761,2024-04-05,Skoda,Superb,Superb LXI Diesel Manual,2417000,2200,Diesel,Manual,Male,Hyderabad,4.0
SAL101429,2025-04-07,Toyota,Innova,Innova ZXI Petrol Manual,3130000,1497,Petrol,Manual,Male,Chennai,1.0
SAL101687,2023-10-15,MG,Astor,Astor SX Petrol Manual,2218000,1998,Petrol,Manual,Male,Kolkata,1.0
SAL103180,2025-06-22,MG,Gloster,Gloster ZXI Hybrid Manual,1276000,1998,Hybrid,Manual,Female,Chennai,5.0
SAL101549,2020-07-24,Kia,Seltos,Seltos XZ+ Diesel Manual,1876000,1497,Diesel,Manual,Male,Kolkata,4.0
SAL101241,2023-05-14,Mahindra,XUV300,XUV300 SX(O) Diesel Manual,2098000,800,Diesel,Manual,Female,Chennai,5.0
SAL100813,2025-08-28,Kia,Sonet,Sonet XM Diesel Manual,2365000,1998,Diesel,Manual,Female,Kolkata,1.0
SAL100515,2024-05-06,MG,Astor,Astor XZ Petrol Manual,1066000,1198,Petrol,Manual,Male,Ahmedabad,5.0
SAL100111,2024-09-12,Tata,Altroz,Altroz XZ Petrol Automatic,526000,1197,Petrol,Automatic,Female,Delhi,4.0
SAL103701,2024-12-08,Tata,Safari,Safari LXI Diesel Manual,1250000,1197,Diesel,Manual,Male,Bengaluru,3.0
SAL103256,2020-04-08,Mahindra,Thar,Thar SX(O) Petrol Manual,1946000,2500,Petrol,Manual,Male,Chennai,1.0
SAL100049,2023-07-23,Tata,Safari,Safari XZ Petrol Manual,559000,2200,Petrol,Manual,Male,Jaipur,4.0
SAL100826,2023-02-10,Maruti Suzuki,Swift,Swift VXI Electric Manual,612000,2500,Electric,Manual,Male,Jaipur,2.0
SAL101597,2022-08-03,Hyundai,Venue,Venue XM CNG Manual,495000,1498,CNG,Manual,Female,Chennai,4.0
SAL103354,2024-09-18,Kia,Sonet,Sonet XZ+ Petrol Manual,1119000,1498,Petrol,Manual,Female,Delhi,6.0
SAL101256,2020-11-23,hyundai,i10,i10 SX(O) Electric Manual,641000,1197,Electric,Manual,Male,Lucknow,3.0
SAL100394,2021-06-26,Renault,Kiger,Kiger VXI Diesel Automatic,607000,800,Diesel,Automatic,Female,Bengaluru,1.0
SAL100703,2023-02-14,Kia,EV6,EV6 XM Petrol Automatic,1029000,1497,Petrol,Automatic,Female,Hyderabad,3.0
SAL101463,2022-07-03,Tata,Tigor,Tigor ZXI+ CNG Manual,1221000,800,CNG,Manual,Male,Lucknow,4.0
SAL100253,2023-07-21,Tata,Altroz,Altroz SX(O) Diesel Manual,744000,1498,Diesel,Manual,Male,Mumbai,3.0
SAL101168,2021-07-19,Tata,Nexon,Nexon XZ+ Petrol AMT,309000,1497,Petrol,AMT,Female,Pune,3.0
SAL100216,2024-03-10,Tata,Altroz,Altroz XZ+ Petrol Automatic,756000,1998,Petrol,Automatic,Female,Ahmedabad,5.0
SAL100524,2022-11-06,Honda,Amaze,Amaze XZ Diesel Manual,1622000,1498,Diesel,Manual,Female,Ahmedabad,4.0
SAL100832,2020-04-24,Tata,Tigor,Tigor VXI Petrol Manual,497000,2200,Petrol,Manual,Male,Mumbai,5.0
SAL102064,2022-05-06,Mahindra,Bolero,Bolero SX(O) Diesel Manual,794000,1197,Diesel,Manual,Female,Lucknow,6.0
SAL100881,2022-06-04,Mahindra,Thar,Thar LXI Petrol Manual,1909000,2200,Petrol,Manual,Male,Jaipur,6.0
SAL102614,2021-01-06,Maruti Suzuki,Wagon R,Wagon R ZXI Petrol Manual,585000,2200,Petrol,Manual,Male,Ahmedabad,3.0
SAL101922,2020-04-07,Renault,Kiger,Kiger ZXI Petrol Automatic,858000,1998,Petrol,Automatic,Female,Pune,2.0
SAL100809,2024-11-25,Toyota,Innova,Innova SX Petrol AMT,1017000,1197,Petrol,AMT,Male,Jaipur,3.0
SAL100835,2020-08-12,Honda,City,City XM Diesel Manual,1161000,1497,Diesel,Manual,Male,Hyderabad,1.0
SAL102500,2022-12-14,MG,Astor,Astor EX Petrol Automatic,3069000,800,Petrol,Automatic,Male,Jaipur,5.0
SAL100895,2022-08-25,Tata,Nexon,Nexon ZXI+ Petrol Automatic,587000,2500,Petrol,Automatic,Male,Ahmedabad,-1
SAL103403,2024-10-31,MG,Hector,Hector XM Petrol Manual,1817000,1197,Petrol,Manual,Male,Chennai,6.0
SAL103788,2020-10-13,Renault,Triber,Triber XZ+ Petrol Automatic,407000,1197,Petrol,Automatic,Male,Lucknow,1.0
SAL100686,2023-01-16,Skoda,Kushaq,Kushaq EX CNG Automatic,2058000,1498,CNG,Automatic,Male,Lucknow,3.0
SAL102417,2023-11-29,Skoda,Superb,Superb XM Petrol Automatic,886000,2200,Petrol,Automatic,Female,Pune,3.0
SAL101064,invalid_date,MG,Gloster,Gloster XZ+ CNG Manual,2053000,1998,CNG,Manual,Male,Pune,3.0
SAL102540,2021-07-09,Kia,Sonet,Sonet ZXI CNG Manual,1920000,1197,CNG,Manual,Male,Mumbai,3.0
SAL101640,2024-12-12,Toyota,Innova,Innova XZ Petrol CVT,2212000,1197,Petrol,CVT,Male,Chennai,2.0
SAL100194,2025-02-14,Maruti Suzuki,Swift,Swift XZ Diesel Automatic,605000,1197,Diesel,Automatic,Male,Jaipur,2.0
SAL101804,2020-06-07,Maruti Suzuki,Wagon R,Wagon R VXI Petrol Automatic,615000,1198,Petrol,Automatic,Male,Hyderabad,5.0
SAL101094,2023-12-07,Hyundai,i20,i20 XM CNG Manual,677000,2500,CNG,Manual,Male,Ahmedabad,3.0
SAL103903,2021-11-17,MG,Gloster,Gloster SX(O) Petrol Manual,1628000,800,Petrol,Manual,Male,Jaipur,3.0
SAL100404,2024-03-11,Kia,Seltos,Seltos EX Petrol Automatic,1344000,999,Petrol,Automatic,Male,Bengaluru,4.0
SAL103777,2021-01-09,Kia,Sonet,Sonet XZ Petrol Manual,1763000,1497,Petrol,Manual,Male,Mumbai,6.0
SAL103121,2022-08-22,Tata,Nano,Nano SX(O) Diesel Manual,647000,2200,Diesel,Manual,Male,Hyderabad,2.0
SAL101772,2024-10-15,MG,Astor,Astor VXI Diesel Automatic,3230000,1498,Diesel,Automatic,Male,Lucknow,1.0
SAL102732,2023-04-13,Skoda,Octavia,Octavia SX Diesel Automatic,927000,1498,Diesel,Automatic,Female,Kolkata,6.0
SAL103524,2022-04-18,Honda,Amaze,Amaze SX Diesel Manual,884000,1197,Diesel,Manual,Male,Hyderabad,3.0
SAL100843,2023-05-12,Renault,Duster,Duster SX CNG Manual,1165000,1998,CNG,Manual,Male,Delhi,4.0
SAL102615,2020-12-22,Tata,Nexon,Nexon EX Petrol Manual,443000,1998,Petrol,Manual,Male,Bengaluru,1.0
SAL100160,2023-04-08,Skoda,Rapid,Rapid ZXI Diesel Manual,1609000,1998,Diesel,Manual,Male,Pune,2.0
SAL101679,2022-09-14,Renault,Kwid,Kwid ZXI+ Petrol Manual,925000,999,Petrol,Manual,Male,Chennai,4.0
SAL103801,2025-08-08,Honda,City,City VXI CNG Manual,1732000,1998,CNG,Manual,Male,Hyderabad,3.0
SAL102557,2022-05-02,Kia,EV6,EV6 XM Petrol Manual,1309000,2200,Petrol,Manual,Male,Mumbai,4.0
SAL100325,2024-11-09,Hyundai,Santro,Santro XZ+ Hybrid Manual,1285000,1998,Hybrid,Manual,Male,Hyderabad,6.0
SAL101885,2021-07-20,Skoda,Rapid,Rapid XZ Diesel Manual,1815000,1198,Diesel,Manual,Male,Hyderabad,5.0
SAL100555,2020-06-06,Honda,WR-V,WR-V XZ+ Diesel Automatic,1144000,2500,Diesel,Automatic,Male,Ahmedabad,1.0
SAL101511,2020-11-10,Mahindra,Bolero,Bolero ZXI Petrol Manual,1993000,1198,Petrol,Manual,Male,Chennai,1.0
SAL102337,2024-08-14,Skoda,Superb,Superb SX Petrol CVT,1612000,1998,Petrol,CVT,Male,Mumbai,2.0
SAL100361,2020-09-25,Renault,Duster,Duster ZXI CNG Manual,879000,1497,CNG,Manual,Female,Hyderabad,2.0
SAL102760,2020-02-07,Hyundai,Verna,Verna SX(O) Diesel Manual,577000,1198,Diesel,Manual,Male,Delhi,6.0
SAL102587,2021-03-31,Renault,Kwid,Kwid EX Diesel Manual,914000,1198,Diesel,Manual,Male,Hyderabad,5.0
SAL103291,2022-02-28,Skoda,Superb,Superb XZ Petrol Automatic,2730000,1197,Petrol,Automatic,Male,Pune,5.0
SAL100751,2022-12-01,Kia,Sonet,Sonet XM Petrol Manual,2398000,1197,Petrol,Manual,Female,Hyderabad,1.0
SAL101338,2025-05-04,Tata,Safari,Safari EX Diesel Manual,401000,2200,Diesel,Manual,Female,Kolkata,2.0
