SaleID,SaleDate,Brand,Model,Price,EngineCC,FuelType,Transmission,BuyerGender,City,UnitsSold
SAL103348,16-02-2023,MG,Gloster,1785000,1197,Petrol,Manual,Male,Jaipur,5
SAL100557,25-03-2022,Renault,Kwid,326000,2500,Electric,Manual,Female,Mumbai,2
SAL101656,07-12-2020,MG,Gloster,2385000,1498,Diesel,Manual,Male,Chennai,5
SAL103934,06-02-2022,Skoda,Superb,1476000,800,Hybrid-electric,Manual,Male,Mumbai,2
SAL100349,30-07-2021,MG,Hector,2565000,1498,Diesel,Manual,Female,Bengaluru,6
SAL102411,19-01-2022,Hyundai,Creta,569000,1197,Petrol,Automatic,Male,Lucknow,6
SAL101821,09-08-2021,Hyundai,i10,546000,800,Diesel,Manual,Male,Mumbai,1
SAL102642,29-11-2020,MG,Hector,2955000,1198,Petrol,Manual,Male,Ahmedabad,6
SAL101376,15-04-2023,MG,Astor,2113000,1498,Diesel,Automatic,Male,Bengaluru,5
SAL103938,12-03-2023,Honda,City,888000,2200,Petrol,Manual,Male,Mumbai,6
SAL101157,20-02-2025,Tata,Altroz,1533000,1497,Petrol,Manual,Male,Jaipur,2
SAL101188,11-12-2022,MG,Gloster,1752000,1198,Diesel,Manual,Female,Hyderabad,4
SAL100006,25-02-2024,Renault,Duster,352000,1498,Petrol,Manual,Female,Delhi,5
SAL100532,05-09-2020,Renault,Kwid,1197000,1498,Diesel,AMT,Male,Pune,6
SAL102797,14-09-2023,Honda,Amaze,1385000,999,Petrol,Automatic,Female,Jaipur,6
SAL103082,27-03-2020,Honda,City,923000,1197,Diesel,Automatic,Male,Mumbai,1
SAL101834,03-04-2025,Honda,Amaze,1593000,2500,Hybrid,Automatic,Male,Pune,2
SAL102686,18-03-2021,Kia,EV6,1011000,1498,Petrol,Manual,Male,Lucknow,1
SAL100407,29-11-2024,Toyota,Urban Cruiser,730000,1197,Diesel,Automatic,Male,Bengaluru,4
SAL101577,08-06-2023,MG,Astor,2605000,1198,CNG,Manual,Male,Kolkata,5
SAL100447,26-10-2020,Skoda,Superb,2457000,1497,Diesel,Manual,Male,Bengaluru!!,4
SAL101835,03-09-2021,MG,Astor,2641000,800,CNG,Automatic,Male,Pune,4
SAL102131,14-03-2021,Kia,Sonet,821000,1198,Diesel,Automatic,Male,Kolkata,5
SAL102307,12-11-2021,Hyundai,Santro,1140000,2500,Petrol,Automatic,Male,Mumbai,4
SAL102179,30-11-2021,MG,ZS EV,2282000,999,CNG,Automatic,Male,Pune,1
SAL101617,02-10-2020,Maruti Suzuki,Celerio,896000,1197,Hybrid,Manual,Male,Ahmedabad,6
SAL101756,03-06-2022,Renault,Triber,1164000,1497,Diesel,CVT,Male,Lucknow,2
SAL103158,15-08-2021,Mahindra,Thar,2185000,1197,Diesel,Manual,Male,Kolkata,5
SAL102375,18-08-2022,Toyota,Fortuner,1471000,1197,Diesel,CVT,Male,Delhi,3
SAL101343,11-02-2025,Renault,Triber,954000,800,Petrol,Manual,Male,Bengaluru,3
SAL100328,15-01-2025,Tata,Nano,887000,2200,Petrol,Manual,Male,Chennai,4
SAL100499,09-12-2023,Maruti Suzuki,Dzire,1188000,1198,Diesel,Manual,Male,Kolkata,3
SAL100914,10-08-2024,Maruti Suzuki,Alto,797000,1497,Diesel,Manual,Female,Jaipur,5
SAL102679,26-10-2024,Maruti Suzuki,Wagon R,764000,800,Diesel,Manual,Male,Lucknow,5
SAL100325,05-03-2024,Skoda,Superb,2423000,2200,Electric,Manual,Male,Bengaluru,6
SAL101370,23-06-2024,Maruti Suzuki,Dzire,1174000,1198,Petrol,Manual,Female,Delhi,2
SAL102145,24-10-2021,Maruti Suzuki,Baleno,1039000,1998,CNG,Manual,Male,Lucknow,5
SAL103262,07-08-2020,Renault,Triber,677000,1198,Petrol,Manual,Male,Ahmedabad,1
1562,17-02-2024,Honda,WR-V,1559000,2500,Petrol,Manual,Male,Jaipur,6
SAL100445,14-12-2020,MG,ZS EV,3368000,1497,Petrol,Automatic,Female,Chennai,4
SAL101047,01-10-2024,Maruti Suzuki,Dzire,322000,2200,Diesel,Automatic,Female,Jaipur,3
SAL100122,15-04-2020,Hyundai,Verna,782000,1197,Petrol,Automatic,Male,Pune,1
SAL101650,08-06-2023,Maruti Suzuki,Ertiga,333000,800,Petrol,Manual,Male,Jaipur,3
SAL103079,08-11-2020,Renault,Triber,1150000,1497,CNG,Automatic,Male,Hyderabad,2
SAL102052,22-03-2023,Skoda,Octavia,1165000,1498,CNG,Automatic,Female,Chennai,3
SAL100175,28-12-2022,Renault,Duster,457000,999,Diesel,Manual,Male,Bengaluru,5
SAL101686,28-07-2025,MG,Astor,3307000,2500,Petrol,AMT,Male,Jaipur,4
SAL103718,31-10-2024,MG,Hector,2107000,1498,Diesel,Manual,Male,Pune,6
SAL102252,01-01-2025,Mahindra,XUV300,1905000,2200,Hybrid,Manual,Male,Bengaluru,999
SAL101532,07-05-2020,MG,Hector,2790000,800,CNG,AMT,Female,Kolkata,4
SAL102931,30-07-2024,Toyota,Innova,2551000,2500,Petrol,Manual,Female,Lucknow,4
SAL101971,08-04-2022,Skoda,Octavia,2630000,1497,CNG,Manual,Female,Delhi,1
SAL103252,11-10-2024,Toyota,Fortuner,2396000,1197,Petrol,Automatic,Male,Chennai,3
SAL102284,24-10-2024,Honda,City,854000,1998,Diesel,Manual,Female,Kolkata,3
SAL101659,03-06-2025,Tata,Tiago,926000,999,Electric,Automatic,Female,Ahmedabad,5
SAL101455,07-08-2021,Honda,WR-V,1724000,2200,Diesel,Manual,Female,Chennai,2
SAL100654,16-07-2021,Hyundai,Verna,918000,1498,CNG,Automatic,Female,Lucknow,2
SAL101036,23-08-2021,Tata,Safari,776000,1498,Petrol,Manual,Female,Ahmedabad,1
SAL101013,26-04-2025,Honda,Jazz,743000,1198,Petrol,Manual,Male,Hyderabad,5
SAL102113,19-09-2020,Tata,Tigor,1552000,1197,Petrol,Manual,Female,Lucknow,6
SAL100272,30-06-2020,Kia,Carens,2274000,1998,Electric,Manual,Female,Delhi,1
SAL102891,15-08-2022,Tata,Nexon,1271000,1198,Petrol,Manual,Male,Delhi,6
SAL100464,07-03-2023,MG,Hector,3405000,999,Petrol,Manual,Male,Ahmedabad,2
SAL101529,27-05-2022,MG,Gloster,2348000,1497,Petrol,Manual,Male,Lucknow,3
SAL103085,06-01-2025,Honda,Amaze,-5000,1497,Petrol,Automatic,Male,Hyderabad,1
SAL101041,01-09-2020,Renault,Triber,1012000,1498,Petrol,Automatic,Female,Bengaluru,3
SAL103880,05-07-2023,Maruti Suzuki,Celerio,752000,1197,CNG,Manual,Female,Ahmedabad,2
SAL103778,23-01-2021,Renault,Kwid,891000,800,Electric,CVT,Male,Hyderabad,4
SAL102704,01-05-2024,Skoda,Superb,2494000,2200,petrol ,Manual,Male,Bengaluru,2
SAL100660,17-06-2022,MG,Gloster,1890000,2200,Diesel,Automatic,Male,Chennai,1
SAL102194,13-05-2025,Hyundai,i20,533000,1198,Petrol,Automatic,Male,Ahmedabad,4
SAL103449,04-03-2024,Kia,Seltos,891000,800,Petrol,Manual,Male,Lucknow,6
SAL103981,03-12-2021,Honda,WR-V,1586000,1497,Petrol,Manual,Male,Jaipur,1
SAL102636,23-01-2022,Mahindra,XUV700,2439000,1498,Diesel,Automatic,Female,Bengaluru,4
SAL100236,18-12-2021,Mahindra,XUV300,1205000,1998,Diesel,Manual,Male,Hyderabad,5
SAL103754,08-08-2020,Toyota,Fortuner,1461000,1998,Diesel,Manual,Female,Kolkata,6
SAL101502,21-07-2022,Mahindra,Bolero,746000,1198,Petrol,Automatic,Male,Bengaluru,4
SAL100323,09-02-2020,Kia,Carens,1276000,1498,Petrol,Automatic,Female,Kolkata,1
SAL101917,18-07-2025,MG,ZS EV,2483000,2500,Petrol,Automatic,Male,Lucknow,3
SAL101341,28-07-2020,Hyundai,Creta,955000,1498,Diesel,Manual,Male,Ahmedabad,1
SAL100990,30-01-2020,Maruti Suzuki,Ertiga,1019000,1998,Diesel,Automatic,Male,Jaipur,6
SAL101089,28-03-2024,Kia,Sonet,1194000,1497,Diesel,Manual,Female,Mumbai,6
SAL101444,08-07-2023,MG,Astor,3170000,800,Petrol,Manual,Male,Chennai,3
SAL103673,10-10-2020,MG,Astor,1279000,800,Diesel,Automatic,Female,Lucknow,1
SAL102278,16-10-2021,Kia,EV6,1878000,1198,Petrol,Manual,Male,Delhi,2
SAL103729,28-10-2022,Tata,Tiago,1133000,1998,Petrol,Manual,Female,Chennai,2
SAL100828,02-03-2025,Tata,Nexon,1333000,2200,Diesel,Manual,Female,Delhi,5
SAL100971,07-01-2022,Hyundai,i10,1524000,800,Diesel,Automatic,Male,Bengaluru,5
SAL103624,05-12-2023,Toyota,Innova,1399000,800,Electric,Manual,Male,Jaipur,2
SAL102794,28-01-2024,Mahindra,Bolero,1487000,1198,Petrol,Automatic,Male,Mumbai,6
SAL102953,22-01-2022,Mahindra,Scorpio,1531000,999,Petrol,AMT,Female,Lucknow,3
SAL101679,31-01-2023,Honda,WR-V,1464000,2200,Diesel,Automatic,Male,Hyderabad,3
SAL103676,09-04-2022,Tata,Harrier,543000,1498,Petrol,Automatic,Female,Hyderabad,3
SAL101200,18-10-2021,Mahindra,Bolero,2065000,1498,Petrol,AMT,Female,Mumbai,1
SAL100371,31-12-2020,Mahindra,XUV700,733000,1198,Petrol,AMT,Male,Ahmedabad,5
SAL101348,25-09-2021,Mahindra,Bolero,2478000,1498,Petrol,Automatic,Female,Bengaluru,5
SAL100069,05-02-2023,Mahindra,XUV300,2476000,2500,Petrol,AMT,Male,Hyderabad,4
SAL100603,28-04-2020,Renault,Kwid,380000,2200,Hybrid,Manual,Male,Delhi,4
SAL101747,06-01-2025,Mahindra,Bolero,1168000,1198,Petrol,Manual,Female,Jaipur,6
SAL102560,09-04-2022,Renault,Duster,1015000,2500,Petrol,Automatic,Female,Jaipur,5
SAL101757,26-09-2022,Honda,Jazz,1237000,2500,Petrol,Automatic,Female,Kolkata,1
SAL100577,29-07-2020,Tata,Tiago,1597000,1998,Petrol,Automatic,Female,Kolkata,6
SAL103410,15-10-2023,MG,Gloster,2028000,2200,Petrol,Manual,Female,Mumbai,3
SAL102062,25-08-2022,Renault,Duster,1026000,800,Petrol,Manual,Female,Kolkata,1
SAL102882,03-10-2022,Kia,Seltos,1152000,1197,Diesel,Manual,Male,Mumbai,1
SAL101073,20-07-2023,MG,Astor,1045000,800,Petrol,Manual,Male,Pune,1
SAL101462,03-05-2024,Toyota,Glanza,998000,2200,Hybrid,Manual,Male,Kolkata,3
SAL100377,06-02-2020,Maruti Suzuki,Wagon R,321000,2200,Hybrid,Manual,Male,Mumbai,2
SAL102659,10-01-2024,Skoda,Kushaq,2246000,1998,Petrol,Manual,Male,Lucknow,2
SAL102521,08-01-2025,Toyota,Innova,1076000,1497,Petrol,Manual,Male,Delhi,5
SAL102767,22-03-2022,Kia,Seltos,1211000,1198,Petrol,Manual,Male,Chennai,4
SAL102890,14-04-2024,Tata,Tiago,765000,1998,Petrol,Automatic,Female,Lucknow,2
SAL103137,03-07-2022,Maruti Suzuki,Dzire,964000,800,Electric,Manual,Female,Lucknow,4
SAL100731,02-07-2023,Kia,Sonet,2185000,999,Hybrid,Manual,Male,Pune,2
SAL100038,27-10-2021,Tata,Tiago,1258000,1197,Hybrid,Manual,Female,Pune,4
SAL100877,21-02-2023,Honda,Amaze,1425000,1197,CNG,AMT,Female,Chennai,6
SAL100849,05-01-2024,Maruti Suzuki,Wagon R,836000,1198,Petrol,Manual,Male,Chennai,2
SAL100261,26-06-2021,Honda,Jazz,1789000,999,Petrol,Manual,Male,Hyderabad,1
SAL101955,04-01-2021,Renault,Duster,1140000,1197,Petrol,Manual,Male,Delhi,1
SAL101483,08-04-2024,MG,Hector,1014000,1198,Hybrid,Manual,Male,Kolkata,6
SAL100285,21-04-2024,Renault,Triber,332000,2500,Petrol,Manual,Male,Hyderabad,6
SAL103278,15-10-2021,Maruti Suzuki,Dzire,600000,1197,Hybrid,Manual,Male,Jaipur,2
SAL103464,15-03-2023,Skoda,Rapid,1195000,1498,Diesel,Automatic,Female,Hyderabad,4
SAL102680,30-09-2020,Toyota,Innova,1449000,800,Petrol,Manual,Male,Ahmedabad,3
SAL100422,09-07-2023,Toyota,Glanza,955000,2500,Diesel,Manual,Male,Kolkata,6
SAL103777,05-10-2020,MG,Gloster,2417000,999,Diesel,Manual,Male,Ahmedabad,3
SAL103249,05-03-2021,Honda,WR-V,1395000,2500,Diesel,Manual,Male,Lucknow,4
SAL101477,22-03-2020,Renault,Triber,986000,1498,Hybrid,Manual,Male,Mumbai,4
SAL101727,13-08-2025,Hyundai,i20,1596000,2500,Petrol,CVT,Male,Bengaluru,4
SAL102846,14-05-2024,Toyota,Glanza,2905000,,Diesel,Manual,Male,Chennai,4
SAL100852,09-06-2021,MG,Astor,1525000,999,Petrol,AMT,Female,Jaipur,6
SAL103518,28-10-2021,Tata,Safari,399000,1998,Petrol,Manual,Female,Hyderabad,2
SAL102664,07-01-2022,Toyota,Urban Cruiser,2402000,1497,Petrol,Automatic,Male,Delhi,1
SAL103595,05-07-2024,Kia,Seltos,1896000,1998,Petrol,Manual,Male,Bengaluru,2
SAL103721,29-01-2020,Mahindra,Scorpio,2202000,999,Petrol,Manual,Male,Hyderabad,5
SAL102238,28-04-2025,Renault,Kwid,371000,1197,Diesel,CVT,Female,Lucknow,4
SAL103117,31-07-2022,Kia,Seltos,823000,1998,Petrol,Automatic,Male,Ahmedabad,3
SAL100021,21-04-2025,Renault,Triber,426000,1998,Petrol,Manual,Male,Hyderabad,4
SAL102987,17-05-2020,Toyota,Innova,2113000,1497,Petrol,Manual,Female,Jaipur,1
SAL103766,20-10-2021,MG,ZS EV,2490000,800,Petrol,Manual,Male,Pune,1
SAL102212,17-02-2021,Skoda,Kushaq,840000,2500,Diesel,Manual,Male,Bengaluru,3
SAL103550,07-10-2024,Honda,Amaze,1584000,999,Petrol,Automatic,Male,Kolkata,5
SAL101170,26-10-2022,Kia,Carens,1849000,1998,Diesel,Manual,Female,Kolkata,1
SAL101911,26-02-2022,Mahindra,XUV300,2278000,2500,CNG,Manual,Male,Pune,3
SAL100475,02-05-2021,Tata,Safari,1690000,1198,Petrol,Automatic,Male,Chennai,5
SAL103542,15-01-2024,Kia,Seltos,1050000,1998,Diesel,Automatic,Male,Hyderabad,4
SAL101292,18-06-2024,Honda,City,1324000,999,Diesel,Manual,Male,Chennai,3
SAL100611,16-06-2025,Hyundai,Verna,1359000,999,Diesel,Manual,Male,Ahmedabad,2
SAL101869,26-06-2023,Toyota,Urban Cruiser,2733000,1498,Diesel,Manual,Male,Delhi,1
SAL100685,12-07-2020,Honda,Jazz,1312000,1197,Petrol,Manual,Male,Bengaluru,6
SAL102886,13-03-2023,Mahindra,Scorpio,1612000,999,Petrol,Manual,Male,Lucknow,6
SAL103352,10-03-2020,Maruti Suzuki,Ertiga,1117000,999,Petrol,Manual,Male,Chennai,3
SAL103598,17-01-2021,MG,Gloster,1930000,2500,Electric,Manual,Male,Bengaluru,2
SAL103330,21-12-2021,Tata,Harrier,1169000,1498,Petrol,AMT,Female,Jaipur,6
SAL101489,16-01-2020,Hyundai,Verna,938000,1998,Diesel,Manual,Male,Delhi,4
SAL102981,02-10-2021,Mahindra,Bolero,1123000,1998,Petrol,Automatic,Female,Delhi,5
SAL100215,15-03-2023,Kia,Carens,1203000,800,Hybrid,Manual,Male,Jaipur,6
SAL101312,15-06-2025,MG,Hector,2369000,2500,Electric,Manual,Female,Jaipur,3
SAL101119,14-03-2021,Hyundai,i10,555000,999,Petrol,Automatic,Male,Mumbai,4
SAL101126,23-08-2025,Maruti Suzuki,Alto,378000,2200,Diesel,Automatic,Male,Bengaluru,3
SAL103218,01-11-2022,Tata,Nexon,1306000,2500,Petrol,Manual,Female,Bengaluru,1
SAL103767,31-10-2023,MG,Gloster,2085000,2500,Petrol,Manual,Female,Ahmedabad,6
SAL101904,10-05-2025,MG,Astor,2864000,1498,Petrol,AMT,Female,Mumbai,3
SAL100404,06-07-2020,Hyundai,Santro,784000,800,CNG,Automatic,Male,Pune,4
SAL100490,21-02-2023,Tata,Safari,938000,1998,Petrol,Manual,Male,Hyderabad,4
SAL101131,15-12-2023,Honda,WR-V,1245000,1497,Diesel,Automatic,Female,Lucknow,4
SAL103493,11-03-2023,Tata,Tiago,1536000,1498,Diesel,Manual,Male,Lucknow,1
SAL103845,03-11-2023,Tata,Altroz,1219000,2200,Petrol,Manual,Female,Bengaluru,1
SAL103155,06-07-2024,Honda,City,1414000,1998,Petrol,Manual,Male,Bengaluru,2
SAL102159,03-01-2023,MG,Hector,2872000,2200,Petrol,Manual,Male,Kolkata,1
SAL100424,17-03-2023,Renault,Kiger,352000,1998,CNG,Manual,Male,Bengaluru,1
SAL101909,30-07-2025,Skoda,Superb,1128000,1998,Petrol,Automatic,Male,Mumbai,3
SAL103160,26-03-2021,Kia,Seltos,1555000,2500,Petrol,Manual,Male,Lucknow,1
SAL103453,03-10-2023,Maruti Suzuki,Swift,636000,1197,Petrol,Automatic,Male,Bengaluru,1
SAL102908,18-12-2022,Mahindra,Scorpio,1248000,1197,Diesel,Manual,Male,Jaipur,5
SAL101275,02-04-2024,Tata,Tigor,447000,1497,Petrol,Manual,Male,Chennai,2
SAL102509,30-07-2021,Skoda,Kushaq,2765000,800,Petrol,Automatic,Male,Delhi,3
SAL103023,15-02-2020,Maruti Suzuki,Swift,599000,800,Hybrid,Automatic,Male,Pune,6
